id,availability,condition,description,image_link,link,title,price,brand
JKAZXCW19HA003211,in stock,New,New 2017 Kawasaki Ninja 1000,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/2F/C7/2FC7B59D-8A1B-4869-B2D2-CC7B9550970B.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-Sport-Ninja-1000-ABS-Austin-Texas-3237224,2017 Kawasaki Ninja® 1000 ABS Stock: 003211 | Woods Fun Center,12199 USD,Kawasaki
JKAEX8B12HDA38661,in stock,New,New 2017 Kawasaki Ninja 300,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/24/16/24162FC2-AF7A-4A28-A9B5-A36C374829DA.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-Sport-Ninja-300-ABS-Austin-Texas-3154427,2017 Kawasaki Ninja® 300 ABS Stock: A38661 | Woods Fun Center,5299 USD,Kawasaki
JKAEX8A16HDA31715,in stock,New,New 2017 Kawasaki Ninja 300,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/A9/C2/A9C20508-394D-4CCE-A077-91376DA05C1D.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-Sport-Ninja-300-Austin-Texas-2897031,2017 Kawasaki Ninja® 300 Stock: A31715 | Woods Fun Center,4999 USD,Kawasaki
JKAEX8A18HDA31974,in stock,New,New 2017 Kawasaki Ninja 300,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/AA/4B/AA4B9357-9C93-482C-8D31-E3C17A29B2EA.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-Sport-Ninja-300-Austin-Texas-3089943,2017 Kawasaki Ninja® 300 Stock: A31974 | Woods Fun Center,4999 USD,Kawasaki
JKAEXEK16HDA01787,in stock,New,New 2017 Kawasaki Ninja 650,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/9A/EB/9AEB8340-3515-4CF2-843C-CD5822605094.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-Sport-Ninja-650-ABS-Austin-Texas-2866943,2017 Kawasaki Ninja® 650 ABS Stock: A01787 | Woods Fun Center,7799 USD,Kawasaki
JKAEXEK15HDA01974,in stock,New,New 2017 Kawasaki Ninja 650,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/70/BC/70BCCC0F-31A2-4C49-8588-EAE33C9C5E7E.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-Sport-Ninja-650-ABS-Austin-Texas-2896506,2017 Kawasaki Ninja® 650 ABS Stock: A01974 | Woods Fun Center,7799 USD,Kawasaki
JKAEXEK12HDA00216,in stock,New,New 2017 Kawasaki Ninja 650,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/FC/BD/FCBDD62A-F44D-4DD5-B392-4108D71A085F.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-Sport-Ninja-650-ABS-Austin-Texas-3089976,2017 Kawasaki Ninja® 650 ABS Stock: A00216 | Woods Fun Center,7799 USD,Kawasaki
JKAEXEK1XHDA02392,in stock,New,New 2017 Kawasaki Ninja 650,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/79/0E/790E750E-A3AA-4904-AFCA-627EFA059827.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-Sport-Ninja-650-ABS-KRT-Edition-Austin-Texas-2866940,2017 Kawasaki Ninja® 650 ABS KRT Edition Stock: A02392 | Woods Fun Center,7999 USD,Kawasaki
JKBZXNH13HA004620,in stock,New,New 2017 Kawasaki Ninja ZXâ˘-14R,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/D8/56/D856CE8B-3106-4B72-9874-99D9BB37A660.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-Sport-Ninja-ZX-14R-ABS-Austin-Texas-2774477,2017 Kawasaki Ninja® ZX™-14R ABS Stock: 004620 | Woods Fun Center,14999 USD,Kawasaki
JKBZXNH17HA004507,in stock,New,New 2017 Kawasaki Ninja ZXâ˘-14R,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/11/C9/11C93D9B-B0A9-41FE-912A-04722DE6175D.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-Sport-Ninja-ZX-14R-ABS-Austin-Texas-2986797,2017 Kawasaki Ninja® ZX™-14R ABS Stock: 004507 | Woods Fun Center,14999 USD,Kawasaki
JKBZXNH18HA004502,in stock,New,New 2017 Kawasaki Ninja ZXâ˘-14R,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/84/DE/84DE1AC6-A619-4F86-8FA7-AF21C586087B.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-Sport-Ninja-ZX-14R-ABS-Austin-Texas-2986985,2017 Kawasaki Ninja® ZX™-14R ABS Stock: 004502 | Woods Fun Center,14999 USD,Kawasaki
JKBZXNJ16HA003245,in stock,New,New 2017 Kawasaki Ninja ZXâ˘-14R,https://cdn.dealerspike.com/imglib/v1/800x600/imglib/Assets/Inventory/6C/0D/6C0D609E-320A-45C8-9DE4-893435F63F93.jpg,http://www.woodsfuncenter.com/New-Inventory-2017-Kawasaki-Sport-Ninja-ZX-14R-ABS-SE-Austin-Texas-2774899,2017 Kawasaki Ninja® ZX™-14R ABS SE Stock: 003245 | Woods Fun Center,15499 USD,Kawasaki
